gameId,gameDate,personId,teamTricode,priorGames,finishing,shooting,playmaking,defense,rebounding,physical
22401227,2024-12-15,1630243,ORL,5,20.541239486770213,60.22947640594699,2.1214896214896215,40.0,1.7994505494505495,55.5
22400361,2024-12-19,1630243,ORL,6,16.091170652760294,60.0379882426815,1.1158977838082316,41.37313432835821,1.1567164179104479,55.5
22400377,2024-12-21,1630243,ORL,7,16.779295051353873,58.913432335240074,1.0738237172663403,40.990259740259745,0.9577922077922079,55.5
22400393,2024-12-23,1630243,ORL,8,29.466376811594202,75.72830568124685,29.537857142857142,97.60000000000001,2.44,55.5
22400411,2024-12-26,1630243,ORL,9,46.969098277608914,82.4585353240427,35.31769612897178,95.19148936170211,2.851063829787234,55.5
22400419,2024-12-27,1630243,ORL,10,49.184762872657046,82.18079235534034,35.975092074424836,90.82125603864733,5.748792270531401,55.5
22400436,2024-12-29,1630243,ORL,11,46.56204906204906,88.54031455842527,45.46195415322932,86.55844155844156,7.175324675324676,55.5
22400470,2025-01-03,1630243,ORL,12,43.541501976284586,89.22203937614897,36.33236073764708,84.97835497835499,7.554112554112553,55.5
22400490,2025-01-05,1630243,ORL,13,54.23841059602649,87.88867865026805,44.22118760833814,85.03311258278146,17.3841059602649,55.5
22400496,2025-01-06,1630243,ORL,14,37.37973171898802,85.89521127658371,55.579627826463266,85.52742616033754,20.843881856540083,55.5
22400519,2025-01-09,1630243,ORL,15,33.33419896931609,84.17765030217001,53.472452757916244,82.13483146067415,18.34269662921348,55.5
22400526,2025-01-10,1630243,ORL,16,24.97222222222222,73.09648277727072,49.729284369114886,79.22222222222223,23.88888888888889,55.5
22400544,2025-01-12,1630243,ORL,17,23.820537319963844,70.39052052646284,50.15208061205449,79.01287553648068,22.59656652360515,55.5
22400564,2025-01-15,1630243,ORL,18,21.97068840163778,65.50706990843211,56.66755527576859,81.8149466192171,29.857651245551597,55.5
22400577,2025-01-17,1630243,ORL,19,22.994909239544434,68.49732002408095,56.101510653986495,79.35622317596567,28.948497854077253,55.5
22400593,2025-01-19,1630243,ORL,20,26.65320286722039,59.59370238699848,57.20098154461033,76.22340425531915,32.63297872340425,55.5
22400608,2025-01-21,1630243,ORL,21,30.073529411764707,51.140198151142066,57.910585990121234,81.61764705882352,31.875,55.5
22400622,2025-01-23,1630243,ORL,22,24.04954947134499,48.55048126604322,54.39547099849916,59.668049792531114,29.232365145228215,55.5
22400638,2025-01-25,1630243,ORL,23,21.817933486203238,41.83528324245844,54.42878546680401,61.54696132596686,33.20441988950276,55.5
