gameId,gameDate,homeTeam,homeExpectedMinutesTotal,homeFinishing,homeShooting,homePlaymaking,homeDefense,homeRebounding,homePhysical,isHome_x,awayTeam,awayExpectedMinutesTotal,awayFinishing,awayShooting,awayPlaymaking,awayDefense,awayRebounding,awayPhysical,isHome_y,finishingDiff,shootingDiff,playmakingDiff,defenseDiff,reboundingDiff,physicalDiff,homeScore,awayScore,homePointDiff,homeWin,season
0022400089,2024-10-26,DET,240.00833333333333,51.137796655878034,51.18845103876596,50.05539295938188,44.50944624080534,50.87424223578736,48.82512759973612,True,BOS,233.9,51.25608639118754,62.285013680832094,61.70005909524752,48.708816863686685,55.03448301262335,55.17878366823429,False,-0.11828973530950293,-11.096562642066132,-11.644666135865641,-4.1993706228813465,-4.160240776835991,-6.353656068498168,118,124,-6,0,2024-25
0022400090,2024-10-26,WAS,236.1,50.4242077363553,39.40610328323071,55.2401408291961,41.49246487250927,44.14830690468829,52.398644642100805,True,CLE,240.0,64.99881949535747,56.7503644499778,56.11207707284316,61.201325158227846,47.53534451183779,37.77390277777777,False,-14.574611759002167,-17.34426116674709,-0.8719362436470561,-19.70886028571858,-3.3870376071495016,14.624741864323035,116,135,-19,0,2024-25
0022400091,2024-10-26,CHI,246.825,58.35517175433151,56.27978945514249,54.98810935621083,43.357424808428505,53.421680375936134,54.96078530672879,True,OKC,240.0,42.075992212996,38.63176779174238,48.78097446961833,68.65090101969058,48.8443287037037,50.44175694444445,False,16.27917954133551,17.648021663400115,6.207134886592499,-25.293476211262075,4.577351672232432,4.519028362284338,95,114,-19,0,2024-25
0022400092,2024-10-26,MEM,241.33333333333331,56.04151559610971,48.84893711261972,51.783529899895115,45.03473946313262,46.84471743362007,50.44000690607735,True,ORL,251.6,56.60336404465436,58.79491490321213,60.2513823079953,61.73230984148706,54.90847010916352,67.06106584525702,False,-0.5618484485446515,-9.945977790592408,-8.467852408100185,-16.697570378354442,-8.063752675543448,-16.62105893917967,124,111,13,1,2024-25
0022400093,2024-10-26,MIN,240.00833333333335,55.858525808863405,56.052382705813976,47.801344089101,39.882489869008,51.73801652456688,56.30382625603278,True,TOR,240.74166666666667,55.51317192201431,44.91256695776936,49.14768990636092,51.041718972940664,52.443305476088966,55.32885873515871,False,0.3453538868490966,11.139815748044619,-1.346345817259916,-11.159229103932667,-0.7052889515220855,0.9749675208740669,112,101,11,1,2024-25
0022400094,2024-10-26,SAS,264.3666666666667,51.00370919653911,52.91506855923583,50.77629417825176,40.72817795043431,55.30663270816275,46.94098474341192,True,HOU,240.00833333333333,48.21348334977129,51.41154163904164,48.03083895319342,55.402217339792905,53.4719225642218,50.12791222526996,False,2.790225846767825,1.50352692019419,2.7454552250583433,-14.674039389358597,1.8347101439409528,-3.186927481858042,109,106,3,1,2024-25
0022400095,2024-10-26,PHX,204.86666666666667,62.078340826840005,59.563730239158865,53.998800980420064,60.566966817291195,51.284977811371945,60.70339245037423,True,DAL,240.0,44.27218538379952,50.71189580886493,56.706686014505095,55.92664820675105,53.360213754102205,61.52534027777778,False,17.80615544304049,8.851834430293934,-2.707885034085031,4.640318610540149,-2.0752359427302594,-0.8219478274035481,114,102,12,1,2024-25
0022400096,2024-10-26,LAL,240.0,57.58239245516475,52.67608696391678,62.66794113480724,55.04576813759963,53.59633475445382,55.52433333333333,True,SAC,240.01666666666665,56.20321116959564,51.915006485016136,46.901854403586,40.5023004438569,48.03010046477668,45.211124227484206,False,1.3791812855691106,0.7610804789006451,15.766086731221243,14.543467693742727,5.566234289677141,10.313209105849126,131,127,4,1,2024-25
0022400097,2024-10-27,IND,245.325,58.65918354274156,45.36787989493345,56.8498345210939,45.252282419537366,50.45026008395565,45.70038384455994,True,PHI,237.35,52.803961086230075,42.38935928395403,50.75508945156282,39.75524486684646,47.43518452425514,44.96317323221684,False,5.855222456511484,2.978520610979423,6.094745069531079,5.497037552690905,3.015075559700506,0.7372106123430981,114,118,-4,0,2024-25
0022400098,2024-10-27,BKN,240.0,48.04563973459704,56.045836534457955,48.05677083333333,43.56845730027548,53.45476928374656,43.361878472222216,True,MIL,239.99166666666667,56.150640160122855,60.63776853978333,54.70732024384456,38.506409055181265,54.706320869153224,65.8020209035036,False,-8.105000425525816,-4.591932005325376,-6.650549410511232,5.062048245094218,-1.2515515854066663,-22.440142431281387,115,102,13,1,2024-25
0022400099,2024-10-27,POR,240.01666666666665,45.76357693306957,44.14834243074826,51.788935877004256,46.63965455796515,51.826467227654646,54.52005416290535,True,NOP,239.55833333333337,50.73442269528432,48.37129849322857,55.9900000185271,65.0056692944172,52.46037890550994,41.089877204577874,False,-4.970845762214751,-4.222956062480314,-4.201064141522842,-18.36601473645205,-0.6339116778552949,13.430176958327479,125,103,22,1,2024-25
