gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,gameDate,teamId_advanced,teamTricode_advanced,minutes_advanced,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,assistPercentage,assistToTurnover,assistRatio,turnoverRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,offensiveRating,defensiveRating,netRating,possessions,PIE
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1629029,Luka,Dončić,L. Dončić,luka-dončić,G,,,40:59,17,27,0.63,2,10,0.2,7,10,0.7,0,12,12,9,2,1,3,1,43,-8.0,2025-10-21,1610612747,LAL,40:59,0.667,0.685,0.347,0.474,3.0,21.4,7.1,0.0,0.308,0.162,105.7,116.1,-10.4,88.0,0.293
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,203935,Marcus,Smart,M. Smart,marcus-smart,,,,22:46,3,6,0.5,0,3,0.0,3,4,0.75,0,0,0,0,1,0,3,4,9,2.0,2025-10-21,1610612747,LAL,22:46,0.5,0.58,0.186,0.0,0.0,0.0,27.3,0.0,0.0,0.0,98.1,98.0,0.1,52.0,-0.014
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1631222,Jake,LaRavia,J. LaRavia,jake-laravia,,,,15:50,2,4,0.5,1,2,0.5,0,2,0.0,2,1,3,0,0,0,0,1,5,-5.0,2025-10-21,1610612747,LAL,15:50,0.625,0.512,0.122,0.0,0.0,0.0,0.0,0.118,0.063,0.091,111.8,130.3,-18.5,34.0,0.028
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1629637,Jaxson,Hayes,J. Hayes,jaxson-hayes,,,,14:07,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,1,0,0,1,2,4,-6.0,2025-10-21,1610612747,LAL,14:07,0.667,0.667,0.111,0.111,1.0,20.0,20.0,0.125,0.364,0.222,100.0,125.0,-25.0,29.0,0.115
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1629020,Jarred,Vanderbilt,J. Vanderbilt,jarred-vanderbilt,,,,11:56,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,0,2,0,0,-4.0,2025-10-21,1610612747,LAL,11:56,0.0,0.0,0.194,0.0,0.0,0.0,33.3,0.0,0.3,0.13,104.0,120.0,-16.0,25.0,-0.043
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1642355,Bronny,James,B. James,bronny-james,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,1610612747,LAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1642261,Dalton,Knecht,D. Knecht,dalton-knecht,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,1610612747,LAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1631132,Christian,Koloko,C. Koloko,christian-koloko,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,1610612747,LAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500002,1610612744,Golden State,Warriors,GSW,warriors,202710,Jimmy,Butler III,J. Butler III,jimmy-butler-iii,F,,,34:44,7,14,0.5,1,2,0.5,16,16,1.0,2,3,5,4,1,0,1,4,31,20.0,2025-10-21,1610612744,GSW,34:44,0.536,0.737,0.282,0.174,4.0,15.4,3.8,0.067,0.097,0.082,135.2,104.1,31.1,71.0,0.188
0022500002,1610612744,Golden State,Warriors,GSW,warriors,1630228,Jonathan,Kuminga,J. Kuminga,jonathan-kuminga,F,,,32:54,6,11,0.545,4,6,0.667,1,2,0.5,3,6,9,6,1,0,2,3,17,4.0,2025-10-21,1610612744,GSW,32:54,0.727,0.715,0.179,0.286,3.0,30.0,10.0,0.097,0.214,0.153,115.5,105.4,10.1,71.0,0.145
0022500002,1610612744,Golden State,Warriors,GSW,warriors,203110,Draymond,Green,D. Green,draymond-green,C,,,28:24,3,6,0.5,1,3,0.333,1,3,0.333,1,6,7,9,1,2,4,5,8,20.0,2025-10-21,1610612744,GSW,28:24,0.583,0.546,0.167,0.429,2.25,45.0,20.0,0.04,0.194,0.125,123.3,90.0,33.3,60.0,0.109
0022500002,1610612744,Golden State,Warriors,GSW,warriors,1641764,Brandin,Podziemski,B. Podziemski,brandin-podziemski,G,,,32:32,3,7,0.429,1,4,0.25,0,0,0.0,1,6,7,2,1,0,1,2,7,13.0,2025-10-21,1610612744,GSW,32:32,0.5,0.5,0.11,0.083,2.0,20.0,10.0,0.034,0.207,0.121,128.4,107.4,21.0,67.0,0.069
0022500002,1610612744,Golden State,Warriors,GSW,warriors,201939,Stephen,Curry,S. Curry,stephen-curry,G,,,32:04,6,14,0.429,3,9,0.333,8,8,1.0,0,1,1,4,3,1,2,3,23,1.0,2025-10-21,1610612744,GSW,32:04,0.536,0.656,0.247,0.211,2.0,17.4,8.7,0.0,0.038,0.018,112.9,108.3,4.5,70.0,0.135
0022500002,1610612744,Golden State,Warriors,GSW,warriors,1627741,Buddy,Hield,B. Hield,buddy-hield,,,,22:15,6,11,0.545,5,10,0.5,0,0,0.0,0,1,1,0,1,0,2,0,17,5.0,2025-10-21,1610612744,GSW,22:15,0.773,0.773,0.271,0.0,0.0,0.0,15.4,0.0,0.038,0.022,106.7,95.6,11.1,45.0,0.17
0022500002,1610612744,Golden State,Warriors,GSW,warriors,1627780,Gary,Payton II,G. Payton II,gary-payton-ii,,,,12:04,3,6,0.5,0,1,0.0,0,0,0.0,1,1,2,1,1,1,3,3,6,3.0,2025-10-21,1610612744,GSW,12:04,0.5,0.5,0.29,0.167,0.33,10.0,30.0,0.091,0.067,0.077,107.1,90.0,17.1,28.0,0.024
0022500002,1610612744,Golden State,Warriors,GSW,warriors,201143,Al,Horford,A. Horford,al-horford,,,,20:15,2,7,0.286,1,4,0.25,0,0,0.0,0,5,5,1,0,0,2,4,5,-10.0,2025-10-21,1610612744,GSW,20:15,0.357,0.357,0.196,0.083,0.5,10.0,20.0,0.0,0.385,0.161,104.7,122.2,-17.6,43.0,0.0
0022500002,1610612744,Golden State,Warriors,GSW,warriors,1630611,Gui,Santos,G. Santos,gui-santos,,,,2:39,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0.0,2025-10-21,1610612744,GSW,2:39,0.0,0.0,0.167,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,120.0,-20.0,6.0,-0.111
0022500002,1610612744,Golden State,Warriors,GSW,warriors,1642954,Will,Richard,W. Richard,will-richard,,,,13:35,2,2,1.0,1,1,1.0,0,0,0.0,1,0,1,1,1,0,0,2,5,-11.0,2025-10-21,1610612744,GSW,13:35,1.25,1.25,0.067,0.143,0.0,33.3,0.0,0.083,0.0,0.059,107.1,136.7,-29.5,28.0,0.079
